"ROW_ID","ROW_VERSION","pmcid","synid","context"
"60","16","pmc:PMC10081415","syn31512863","ww.synapse.org/#!Synapse:syn31512863 ). Cell type classificat"
"61","16","pmc:PMC10081846","syn3270015","Synapse.org [BrainGVEX (syn3270015), CMC (syn22344687), HBC"
"62","16","pmc:PMC10081846","syn22344687","nGVEX (syn3270015), CMC (syn22344687), HBCC (syn32183303), an"
"63","16","pmc:PMC10081846","syn32183303","CMC (syn22344687), HBCC (syn32183303), and LIBD (syn22344123)"
"64","16","pmc:PMC10081846","syn22344123","(syn32183303), and LIBD (syn22344123)]. Supplementary Materia"
"65","16","pmc:PMC10092953","syn25101790","ww.synapse.org/#!Synapse:syn25101790/wiki/608802), in which 1"
"66","16","pmc:PMC10094615","syn35874390","he identification number syn35874390 from synapse.org. The da"
"67","16","pmc:PMC10099222","syn3193805","y 9 October 2015 10.7303/syn3193805 24. Gibson E. Giganti F."
"68","16","pmc:PMC10100131","syn34152292","ww.synapse.org/#!Synapse:syn34152292/files/ ). Further inform"
"69","16","pmc:PMC10102849","syn23639889","pository (Project SynID: syn23639889; DOI: https://doi.org/10"
"70","16","pmc:PMC10102849","syn23639889","https://doi.org/10.7303/syn23639889 ) and will also be made"
"71","16","pmc:PMC10104061","syn2759792","rom EGA, and CommonMind (syn2759792) from Synapse. Raw genot"
"72","16","pmc:PMC10106526","syn26007829","available on Synapse as syn26007829 and syn26007830. 2.1.3 |"
"73","16","pmc:PMC10106526","syn26007830","napse as syn26007829 and syn26007830. 2.1.3 | Alzheimer’s Dis"
"74","16","pmc:PMC10106526","syn10235609","Analysis Summary Documentsyn10235609 . Accessed April 19, 202"
"75","16","pmc:PMC10106526","syn10235609","ww.synapse.org/#!Synapse:syn10235609 32. Bennett DA , Schneid"
"76","16","pmc:PMC10109523","syn27046444","ww.synapse.org/#!Synapse:syn27046444/wiki/616992 . 78 Menze B"
"77","16","pmc:PMC10110975","syn4896408","ww.synapse.org/#!Synapse:syn4896408 ). Metabolomics Metabolo"
"78","16","pmc:PMC10110975","syn26007830","ww.synapse.org/#!Synapse:syn26007830 ). The full metabolomics"
"79","16","pmc:PMC10110975","syn17015098","ww.synapse.org/#!Synapse:syn17015098 ). Uniform multi-omic fe"
"80","16","pmc:PMC10110975","syn2580853","https://doi.org/10.7303/syn2580853 ). All analyses were per"
"81","16","pmc:PMC10111747","syn17083203","ww.synapse.org/#!Synapse:syn17083203/wiki/ . The ATAC-seq pro"
"82","16","pmc:PMC10111747","syn6131484","ww.synapse.org/#!Synapse:syn6131484/wiki/ . Accessed 12 May"
"83","16","pmc:PMC10114348","syn3505732","Portal with Synapse IDs syn3505732 and syn7391833, respecti"
"84","16","pmc:PMC10114348","syn7391833","napse IDs syn3505732 and syn7391833, respectively. The ACT R"
"85","16","pmc:PMC10114348","syn5759376","vailable with Synapse ID syn5759376. Mayo Clinic Brain Bank"
"86","16","pmc:PMC10114348","syn5550404","available at Synapse ID (syn5550404; https://doi.org/10.1038"
"87","16","pmc:PMC10114348","syn3159435","he following Synapse ID (syn3159435). In each study, we used"
"88","16","pmc:PMC10114348","syn6101474","apse.org with Synapse ID syn6101474. We accessed neuropathol"
"89","16","pmc:PMC10114348","syn5759376","Synapse IDs; URLs): ACT (syn5759376), ROSMAP (syn3219045; ht"
"90","16","pmc:PMC10114348","syn3219045","CT (syn5759376), ROSMAP (syn3219045; https://doi.org/10.1038"
"91","16","pmc:PMC10114348","syn3159438","1593-018-0154-9 ), MSBB (syn3159438), Mayo Clinic Brain Bank"
"92","16","pmc:PMC10114348","syn5550404","Mayo Clinic Brain Bank (syn5550404; https://doi.org/10.1038"
"93","16","pmc:PMC10114348","syn3159435","ce Center (HBTRC) study (syn3159435). Thank you to Dr. Alec"
"94","16","pmc:PMC10114348","syn3159435","ce Center (HBTRC) study (syn3159435). Code to reproduce resu"
"95","16","pmc:PMC10115253","syn35371551","ww.synapse.org/#!Synapse:syn35371551 . Deliberative sessions"
"96","16","pmc:PMC10117220","syn35874390","ynapse.org ), Synapse ID syn35874390. Code used for MICSSS qu"
"97","16","pmc:PMC10120121","syn5585484","w.synapse.org//#!Synapse:syn5585484 . WEB-based GEne SeT Ana"
"98","16","pmc:PMC10120699","syn25955362","https://doi.org/10.7303/syn25955362 . References 1. Trubetsk"
"99","16","pmc:PMC10121712","syn21125841","See Methods, Synapse ID: syn21125841) 20 . We found that 10.2"
"100","16","pmc:PMC10121712","syn21125841","Synapse under Synapse ID syn21125841 . The single-nucleus RNA"
"101","16","pmc:PMC10121712","syn22079621","Synapse under Synapse ID syn22079621 . The GRCH38 reference d"
"102","16","pmc:PMC10126952","syn31770233","https://doi.org/10.7303/syn31770233 . 2.3. Variant calling a"
"103","16","pmc:PMC10131083","syn7888354","tps://www.synapse.org/ , syn7888354) ( Xiang et al., 2018b )"
"104","16","pmc:PMC10131459","syn26529247","de (.r) Synapse: 10.7303/syn26529247 [ 11 ] Data file 2 scrip"
"105","16","pmc:PMC10131459","syn26529247","de (.r) Synapse: 10.7303/syn26529247 [ 11 ] Data file 3 scrip"
